# exit
#x y z t Bx By Bz Ex Ey Ez
0 0 257 0 3.53902e-17 0.0170364 0.000166433 0 0 0 
0 0 258 0 3.54656e-17 0.0172728 0.000173851 0 0 0 
0 0 259 0 3.55411e-17 0.0175091 0.000181268 0 0 0 
0 0 260 0 3.56166e-17 0.0177455 0.000188686 0 0 0 
0 0 261 0 3.75631e-17 0.0180231 0.000196457 0 0 0 
0 0 262 0 3.95096e-17 0.0183008 0.000204228 0 0 0 
0 0 263 0 4.14561e-17 0.0185784 0.000211999 0 0 0 
0 0 264 0 4.34026e-17 0.0188561 0.000219771 0 0 0 
0 0 265 0 4.53491e-17 0.0191337 0.000227542 0 0 0 
0 0 266 0 4.72956e-17 0.0194114 0.000235313 0 0 0 
0 0 267 0 4.92421e-17 0.019689 0.000243084 0 0 0 
0 0 268 0 5.11887e-17 0.0199667 0.000250855 0 0 0 
0 0 269 0 5.31352e-17 0.0202443 0.000258626 0 0 0 
0 0 270 0 5.50817e-17 0.020522 0.000266398 0 0 0 
0 0 271 0 5.56373e-17 0.0208234 0.000261201 0 0 0 
0 0 272 0 5.61929e-17 0.0211249 0.000256005 0 0 0 
0 0 273 0 5.67485e-17 0.0214263 0.000250808 0 0 0 
0 0 274 0 5.73042e-17 0.0217277 0.000245612 0 0 0 
0 0 275 0 5.78598e-17 0.0220292 0.000240415 0 0 0 
0 0 276 0 5.84154e-17 0.0223306 0.000235219 0 0 0 
0 0 277 0 5.8971e-17 0.022632 0.000230022 0 0 0 
0 0 278 0 5.95266e-17 0.0229335 0.000224826 0 0 0 
0 0 279 0 6.00823e-17 0.0232349 0.00021963 0 0 0 
0 0 280 0 6.06379e-17 0.0235363 0.000214433 0 0 0 
0 0 281 0 5.94962e-17 0.0238701 0.000217093 0 0 0 
0 0 282 0 5.83545e-17 0.0242039 0.000219752 0 0 0 
0 0 283 0 5.72128e-17 0.0245377 0.000222412 0 0 0 
0 0 284 0 5.60711e-17 0.0248714 0.000225071 0 0 0 
0 0 285 0 5.49294e-17 0.0252052 0.000227731 0 0 0 
0 0 286 0 5.37877e-17 0.025539 0.000230391 0 0 0 
0 0 287 0 5.2646e-17 0.0258727 0.00023305 0 0 0 
0 0 288 0 5.15043e-17 0.0262065 0.00023571 0 0 0 
0 0 289 0 5.03626e-17 0.0265403 0.000238369 0 0 0 
0 0 290 0 4.92209e-17 0.0268741 0.000241029 0 0 0 
0 0 291 0 4.66441e-17 0.0272346 0.000228318 0 0 0 
0 0 292 0 4.40672e-17 0.0275951 0.000215606 0 0 0 
0 0 293 0 4.14903e-17 0.0279557 0.000202895 0 0 0 
0 0 294 0 3.89134e-17 0.0283162 0.000190184 0 0 0 
0 0 295 0 3.63366e-17 0.0286767 0.000177472 0 0 0 
0 0 296 0 3.37597e-17 0.0290373 0.000164761 0 0 0 
0 0 297 0 3.11828e-17 0.0293978 0.00015205 0 0 0 
0 0 298 0 2.86059e-17 0.0297583 0.000139338 0 0 0 
0 0 299 0 2.60291e-17 0.0301189 0.000126627 0 0 0 
0 0 300 0 2.34522e-17 0.0304794 0.000113916 0 0 0 
0 0 301 0 2.1107e-17 0.0309398 0.000117739 0 0 0 
0 0 302 0 1.87618e-17 0.0314003 0.000121562 0 0 0 
0 0 303 0 1.64165e-17 0.0318607 0.000125385 0 0 0 
0 0 304 0 1.40713e-17 0.0323212 0.000129208 0 0 0 
0 0 305 0 1.17261e-17 0.0327816 0.000133031 0 0 0 
0 0 306 0 9.38088e-18 0.033242 0.000136854 0 0 0 
0 0 307 0 7.03566e-18 0.0337025 0.000140677 0 0 0 
0 0 308 0 4.69044e-18 0.0341629 0.0001445 0 0 0 
0 0 309 0 2.34522e-18 0.0346234 0.000148323 0 0 0 
0 0 310 0 2.26643e-37 0.0350838 0.000152146 0 0 0 
0 0 311 0 -1.48105e-22 0.0355582 0.000149224 0 0 0 
0 0 312 0 -2.96209e-22 0.0360326 0.000146302 0 0 0 
0 0 313 0 -4.44314e-22 0.0365069 0.00014338 0 0 0 
